_id,date,age_group,deaths_boost_vac_rate_7ma,deaths_full_vac_rate_7ma,deaths_not_full_vac_rate_7ma
1,2021-03-01T00:00:00,0-4yrs,0,0,0
2,2021-03-01T00:00:00,5-11yrs,0,0,0
3,2021-03-01T00:00:00,12-17yrs,0,0,0
4,2021-03-01T00:00:00,18-39yrs,0,0,0
5,2021-03-01T00:00:00,40-59yrs,0,0,0.02
6,2021-03-01T00:00:00,60+,0,0,0.35
7,2021-03-01T00:00:00,ALL,0,0,0.09
8,2021-03-02T00:00:00,0-4yrs,0,0,0
9,2021-03-02T00:00:00,5-11yrs,0,0,0
10,2021-03-02T00:00:00,12-17yrs,0,0,0
11,2021-03-02T00:00:00,18-39yrs,0,0,0
12,2021-03-02T00:00:00,40-59yrs,0,0,0.04
13,2021-03-02T00:00:00,60+,0,0,0.34
14,2021-03-02T00:00:00,ALL,0,0,0.09
15,2021-03-03T00:00:00,0-4yrs,0,0,0
16,2021-03-03T00:00:00,5-11yrs,0,0,0
17,2021-03-03T00:00:00,12-17yrs,0,0,0
18,2021-03-03T00:00:00,18-39yrs,0,0,0
19,2021-03-03T00:00:00,40-59yrs,0,0,0.04
20,2021-03-03T00:00:00,60+,0,0,0.32
21,2021-03-03T00:00:00,ALL,0,0,0.09
22,2021-03-04T00:00:00,0-4yrs,0,0,0
23,2021-03-04T00:00:00,5-11yrs,0,0,0
24,2021-03-04T00:00:00,12-17yrs,0,0,0
25,2021-03-04T00:00:00,18-39yrs,0,0,0
26,2021-03-04T00:00:00,40-59yrs,0,0,0.04
27,2021-03-04T00:00:00,60+,0,0,0.33
28,2021-03-04T00:00:00,ALL,0,0,0.09
29,2021-03-05T00:00:00,0-4yrs,0,0,0
30,2021-03-05T00:00:00,5-11yrs,0,0,0
31,2021-03-05T00:00:00,12-17yrs,0,0,0
32,2021-03-05T00:00:00,18-39yrs,0,0,0
33,2021-03-05T00:00:00,40-59yrs,0,0,0.03
34,2021-03-05T00:00:00,60+,0,0,0.3
35,2021-03-05T00:00:00,ALL,0,0,0.08
36,2021-03-06T00:00:00,0-4yrs,0,0,0
37,2021-03-06T00:00:00,5-11yrs,0,0,0
38,2021-03-06T00:00:00,12-17yrs,0,0,0
39,2021-03-06T00:00:00,18-39yrs,0,0,0
40,2021-03-06T00:00:00,40-59yrs,0,0,0.03
41,2021-03-06T00:00:00,60+,0,0,0.29
42,2021-03-06T00:00:00,ALL,0,0,0.08
43,2021-03-07T00:00:00,0-4yrs,0,0,0
44,2021-03-07T00:00:00,5-11yrs,0,0,0
45,2021-03-07T00:00:00,12-17yrs,0,0,0
46,2021-03-07T00:00:00,18-39yrs,0,0,0
47,2021-03-07T00:00:00,40-59yrs,0,0,0.03
48,2021-03-07T00:00:00,60+,0,0,0.31
49,2021-03-07T00:00:00,ALL,0,0,0.08
50,2021-03-08T00:00:00,0-4yrs,0,0,0
51,2021-03-08T00:00:00,5-11yrs,0,0,0
52,2021-03-08T00:00:00,12-17yrs,0,0,0
53,2021-03-08T00:00:00,18-39yrs,0,0,0
54,2021-03-08T00:00:00,40-59yrs,0,0,0.03
55,2021-03-08T00:00:00,60+,0,0,0.32
56,2021-03-08T00:00:00,ALL,0,0,0.08
57,2021-03-09T00:00:00,0-4yrs,0,0,0
58,2021-03-09T00:00:00,5-11yrs,0,0,0
59,2021-03-09T00:00:00,12-17yrs,0,0,0
60,2021-03-09T00:00:00,18-39yrs,0,0,0
61,2021-03-09T00:00:00,40-59yrs,0,0,0.02
62,2021-03-09T00:00:00,60+,0,0,0.34
63,2021-03-09T00:00:00,ALL,0,0,0.08
64,2021-03-10T00:00:00,0-4yrs,0,0,0
65,2021-03-10T00:00:00,5-11yrs,0,0,0
66,2021-03-10T00:00:00,12-17yrs,0,0,0
67,2021-03-10T00:00:00,18-39yrs,0,0,0
68,2021-03-10T00:00:00,40-59yrs,0,0,0.01
69,2021-03-10T00:00:00,60+,0,0,0.32
70,2021-03-10T00:00:00,ALL,0,0,0.08
71,2021-03-11T00:00:00,0-4yrs,0,0,0
72,2021-03-11T00:00:00,5-11yrs,0,0,0
73,2021-03-11T00:00:00,12-17yrs,0,0,0
74,2021-03-11T00:00:00,18-39yrs,0,0,0
75,2021-03-11T00:00:00,40-59yrs,0,0,0.02
76,2021-03-11T00:00:00,60+,0,0,0.32
77,2021-03-11T00:00:00,ALL,0,0,0.08
78,2021-03-12T00:00:00,0-4yrs,0,0,0
79,2021-03-12T00:00:00,5-11yrs,0,0,0
80,2021-03-12T00:00:00,12-17yrs,0,0,0
81,2021-03-12T00:00:00,18-39yrs,0,0,0
82,2021-03-12T00:00:00,40-59yrs,0,0,0.02
